alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
0.1,1.0,1.0,opu,5000.0,0.01,0.0,0.8765,61.72101020812988,0.8821666666666667,8.0
0.01,1.0,1.0,opu,5000.0,0.01,0.0,0.8764,61.72101020812988,0.88225,8.0
0.0,1.0,1.0,opu,5000.0,0.01,0.0,0.8765,61.72101020812988,0.8821666666666667,8.0
100.0,1.0,1.0,opu,5000.0,0.001,0.0,0.8118,62.37067461013794,0.8165833333333333,4.0
10.0,1.0,1.0,opu,5000.0,0.001,0.0,0.8469,62.37067461013794,0.8545833333333334,4.0
1.0,1.0,1.0,opu,5000.0,0.001,0.0,0.868,62.37067461013794,0.8760833333333333,4.0
0.1,1.0,1.0,opu,5000.0,0.001,0.0,0.8753,62.37067461013794,0.8814166666666666,4.0
0.01,1.0,1.0,opu,5000.0,0.001,0.0,0.8764,62.37067461013794,0.8825833333333334,4.0
0.0,1.0,1.0,opu,5000.0,0.001,0.0,0.8764,62.37067461013794,0.88225,4.0
100.0,1.0,1.0,opu,5000.0,0.0001,0.0,0.6876,61.70374298095703,0.698,2.0
10.0,1.0,1.0,opu,5000.0,0.0001,0.0,0.7671,61.70374298095703,0.7745833333333333,2.0
1.0,1.0,1.0,opu,5000.0,0.0001,0.0,0.8118,61.70374298095703,0.8165833333333333,2.0
0.1,1.0,1.0,opu,5000.0,0.0001,0.0,0.8469,61.70374298095703,0.8545833333333334,2.0
0.01,1.0,1.0,opu,5000.0,0.0001,0.0,0.868,61.70374298095703,0.8760833333333333,2.0
0.0,1.0,1.0,opu,5000.0,0.0001,0.0,0.8765,61.70374298095703,0.88225,2.0
100.0,1.0,1.0,opu,5000.0,1e-05,0.0,0.6072,62.2586305141449,0.49025,2.0
10.0,1.0,1.0,opu,5000.0,1e-05,0.0,0.623,62.2586305141449,0.636,2.0
1.0,1.0,1.0,opu,5000.0,1e-05,0.0,0.6876,62.2586305141449,0.698,2.0
0.1,1.0,1.0,opu,5000.0,1e-05,0.0,0.7671,62.2586305141449,0.7745833333333333,2.0
0.01,1.0,1.0,opu,5000.0,1e-05,0.0,0.8118,62.2586305141449,0.8165833333333333,2.0
0.0,1.0,1.0,opu,5000.0,1e-05,0.0,0.8764,62.2586305141449,0.8821666666666667,2.0
100.0,1.0,5.0,opu,5000.0,1.0,0.0,0.8752,61.804184675216675,0.8829166666666667,12.0
10.0,1.0,5.0,opu,5000.0,1.0,0.0,0.8752,61.804184675216675,0.883,12.0
1.0,1.0,5.0,opu,5000.0,1.0,0.0,0.8751,61.804184675216675,0.883,12.0
0.1,1.0,5.0,opu,5000.0,1.0,0.0,0.8752,61.804184675216675,0.883,12.0
0.01,1.0,5.0,opu,5000.0,1.0,0.0,0.8752,61.804184675216675,0.883,12.0
0.0,1.0,5.0,opu,5000.0,1.0,0.0,0.8752,61.804184675216675,0.883,12.0
100.0,1.0,5.0,opu,5000.0,0.1,0.0,0.8754,63.42882204055786,0.88275,12.0
10.0,1.0,5.0,opu,5000.0,0.1,0.0,0.8751,63.42882204055786,0.883,12.0
1.0,1.0,5.0,opu,5000.0,0.1,0.0,0.8752,63.42882204055786,0.8829166666666667,12.0
0.1,1.0,5.0,opu,5000.0,0.1,0.0,0.8752,63.42882204055786,0.883,12.0
0.01,1.0,5.0,opu,5000.0,0.1,0.0,0.8752,63.42882204055786,0.8830833333333333,12.0
